Issue Type,Summary,Priority
Suggestion,Live Plan - planning stories according to their order,
Suggestion,Ability to display and search/filter on assigned teams in JIRA,
Suggestion,Indicate Overcapacity for fixed timebox,
Suggestion,"When moving an Epic to a different Initiative, maintain the link in JIRA",
Bug,Cannot change team if source is a board and sprint exists,Low
Bug,LivePlan Sprints Out of Order,Low
Bug,"When selecting all children of an issue via its parent in the Plan setup page, the children are not correctly added to the plan",Low
Bug,JIRA Portfolio backlog column settings not keyboard accessible,Low
Suggestion,Extend status filter to allow searching for only completed issues,
Bug,End time mismatch between imported Releases and sprints,Low
Suggestion,I want to show Scope part on whole screen,
Suggestion,Make it possible to drag'n drop stories into an epic,
Bug,Starting a Live Plan might lead to an AlreadyClosedException on JIRA 6.3.5 - 6.3.7,Low
Bug,Error when using releases with relative start dates,Low
Bug,Creating a portfolio Live Plan takes a long time on large instances,Low
Suggestion,"As a user, I want the option to disallow interruptions of stories ",
Suggestion,Ability to Export individual projects to .csv,
Suggestion,"Provide a more helpful message when the horizon is hit because of the ""Minimum Load"" constraint",
Bug,NullPointerException when triggering a schedule calculation,Low
Suggestion,Have a permission in Portfolio to be able to view all the plans,
Bug,Potential exception when confirming changes to Live Plans setup,Low
Suggestion,Show Portfolio Plan creators,
Suggestion,Allow releases to be grouped into cross-project releases,
Bug,Subtasks influence the scheduling priority of their parent issue in Live Plans,Medium
Suggestion,An option to prevent automatically complete Epic/Initiative once its children are complete,
Bug,Cyclic dependencies based on release and issue requirements not detected correctly,Low
Suggestion,Update Documentation For Story points,
Bug,Sprint numbering doesn't consider completed sprints,Low
Bug,Error when adding member to team,Low
Bug,Permissions at plan level conflict with global permissions,High
Suggestion,Business Value field editable,
Suggestion,Different blocks in timeline for different releases of the same initiative,
Bug,Javascript error when creating issue in Live Plans,Low
Suggestion,"Add links to epics, projects or tasks in releases report",
Suggestion,Stop automatically marking initiatives or epics as completed when their children are done,
Bug,Mark child items as complete updates the estimates,Low
Suggestion,How to get specific planning information from Portfolio,
Bug,Unable to edit team velocity in LivePlan,Medium
Suggestion,As a user I want to explicitly schedule 2 epics/stories to start at the same time,
Bug,Order of sprints in Live plan is not the same as in Agile,Low
Bug,Stories are scheduled very fragmented for teams in Kanban mode,Low
Bug,"When I try to create a support request for Portfolio for JIRA, it requires a field that doesn't exist.",Low
Suggestion,"Offer option to honor ""assignee"" on stories on schedule view",
Bug,Exception thrown when saving a release,Low
Suggestion,Set updates from JPO to JIRA and vice versa only under Configure menu,
Suggestion,Add dependencies in Live plans,
Suggestion,Create issue links to reflect the hierarchy in Portoflio Live plans on JIRA issues,
Bug,"TypeError: Cannot read property 'month' of undefined"" when trying to view the portfolio permission",Low
Bug,Portfolio apply changes to all projects,Low
Suggestion,Improve ranking facilities - Move in bulk and assign rank without drag and drop,
Suggestion,Export plan as PDF,
Bug,Shared teams unavailable for Live plan,Medium
Bug,"Teams not deemed to be on same schedule in Live plans, but they are",Low
Suggestion,Option needed to to show unsized stories on the schedule view,
Bug,Scheduling error in Live plans having subtasks without parent imported,Medium
Bug,Grouping by Person has stories aligned with wrong person,Low
Bug,Some stories from a Board source don't end up in the right sprint on the schedule,Low
Suggestion,Visually distinguish LivePlan stories that were automatically scheduled from those with a Sprint specified,
Suggestion,Suggest teams when re-configuring Live Plan data sources,
Suggestion,Scroll / highlight between backlog table and timeline in Live Plans,
Suggestion,Allow setting an import date for Agile Board data sources for Live Plans,
Suggestion,Suggest team members when setting up a Live Plan from an Agile Board,
Bug,Issues in projects with hidden fix version field are not imported into Portfolio plans,Highest
Suggestion,Create issue links when you relate issues in live plans,
Suggestion,"When creating epics in bulk, have option to assign to an existing project",
Suggestion,Remove mentioning stages in the maximum assignees per story configuration option for Live Plans,
Suggestion,Videos/Info for Portfolio Kanban Board,
Suggestion,Is there a way to track linked tasks that have moved epics in Jira Agile,
Suggestion,Ability to filter by Initiative,
Suggestion,Make bulk changes within Portfolio,
Suggestion,Allow scheduling algorithm to use initiative backlog for prioritization as opposed to epic backlog,
Bug,"When creating an epic in JIRA via Portfolio, the Create Epic dialog does not remember field configurations made previously",Low
Suggestion,Show the Issue in the Portfolio backlog that you are highlighting in the scheduling view,
Suggestion,Provide Auto-sync option for Epic Link,
Suggestion,Allow to show completed issues in schedule and reports pages,
Suggestion,"Add ""Theme"" view in addition to Initiatives and Epics view for Backlog and Reporting",
Suggestion,Calculate actual values in reports page based on progress for plans in story points,
Bug,Newly created tickets in Live Plans disappear after page refresh ,High
Bug,Issues that were already closed when imported are not reflected in Actual totals,Low
Suggestion,Working hours by teams,
Bug,Importing a project with Live plan raises unknown exception,Low
Suggestion,Add Epic Due Date in JIRA Portfolio,
Bug,Tasks created in Live plan under a Epic is not connected to that Epic in JIRA,Low
Bug,Live Plan commit crash when removing time value on issue,Low
Bug,Getting logged out creating a Live Plan in Cloud Instance,Low
Bug,IndexOutOfBoundsException - error when i try to show another board in my live plan,Low
Suggestion,Team sharing or reusing already defined teams,
Suggestion,Capture the pre-plan estimate of backlog items in Portfolio,
Suggestion,Allow setting estimates on structured epics and initiatives,
Suggestion,Ability to Copy a Plan to a new Plan,
Suggestion,Allow for the import of Issue Links,
Suggestion,Customize Sprint Name,
Bug,"When creating and linking issues, the create dialog does not present all required fields",Low
Bug,"When creating and linking backlog items to JIRA, the create issue dialog pops up even though mandatory fields have defined default values",Low
Bug,zzzzzzzzzz,Low
Bug,zzzz,Low
Bug,Error when using an Agile Board with invalid estimation statistic in the setup of a Live Plan,Medium
Suggestion,Updates to fixversion on issues does not update to Portfolio,
Suggestion,Epic and Initiative Custom Colors,
Bug,Start and End dates do not accurately Reflect Estimates,Medium
Bug,Keep as reference does not work as intended,Low
Suggestion,Show unestimated backlog items in the schedule,
Bug,The filter in Import Existing Issues is not working properly,Low
Suggestion,Expand/collapse all button,
Suggestion,User story view,
Suggestion,Show icons in the backlog view,
Bug,This issue is related to the attach file option in the send my gift application,Low
Bug,"Filter ""Open and completed"" issues is not honored in some views",Medium
Support Request,Epic scheduling issue [JPO-950],High
Suggestion,Allow editing of Plan Name and Description after creation ,
Support Request,JIRA Portfolio: team is overbooked but the story would not spill over to the next sprint,Low
Bug,Importing Portfolio Plan treats file encoding as system encoding,Low
Suggestion,Portfolio - Plan export the backlog,
Suggestion,Rework the plan/global permission handling,
Suggestion,Determine dependencies across different plans,
Suggestion,Bulk changes,
Suggestion,Colour theme for backlog items,
Suggestion,Determine team velocity/capacity for each sprint,
Suggestion,Determine non-working days for team members,
Suggestion,Relative time filters,
Suggestion,Modify portfolio structure,
Bug,123,Low
Suggestion,Detach Portfolio license model from default user tier license model,
Suggestion,Planned time for onne user in different teams,
Suggestion,"As a user, I want the ""bar at the bottom of the backlog"" to be dynamic by respecting the work week set in the configuration",
Bug,Plan's permission getting bypassed by global permission,Low
Bug,про,Low
Suggestion,Improvement in the way JIRA Portfolio scheduling works,
Suggestion,Ability to assign multiple Teams to an Epic,
Bug,Kanban teams are not fully scheduled if the stage/sprint constraint is disabled,Medium
Bug,Estimated time is not updated from JIRA during update from date...,Low
Suggestion,Stories created under an epic should automatically be assigned to the epic's release,
Bug,"Bottleneck analysis does not consider ""preferred teams"" restrictions on release streams",Low
Bug,"JIRA footer overlaps ""Manage plans"" list in JIRA 6.1",Low
Bug,"Scheduling calculation fails for empty backlogs when ""update from date"" was performed",Low
Bug,Estimate sync does not work with issue transitions,Low
Suggestion,Display issue estimate in Schedule/Stories report,
Suggestion,Report for overbook releases,
Bug,"Opening JIRA's ""Create Issue"" dialog fails ",Low
Suggestion,Add the date information of the sprint on the capacity view,
Suggestion,Ability to drill down to the list of issues assigned to a team member in Capacity View,
Suggestion,Bulk change order of epics and child initiatives ,
Suggestion,Create sprints in multiple teams,
Suggestion,Add information on purple rectangles on graphical view.,
Suggestion,Ability to define start and end date on an issue with out relate it to a release,
Suggestion,Automatically determine release for imported stories,
Suggestion,Lack of real progress,
Suggestion,"Associations between Projects, Teams, Stages and Skills",
Suggestion,Availability of historical Start date and End date,
Bug,Portfolio date picker does not honour all date formats that can be set up in the JIRA application,Low
Bug,Stage Percentage auto-recalculation to 100% makes it close to impossible to modify stages,Low
Bug,Custom vertical scrolling prevents client-side print / export,Low
Suggestion,Bottleneck and Free capacities showing the same skills,
Bug,Complete story issues are removed from board and stop counting towards progress,Medium
Suggestion,Rename JIRA Portfolio to Portfolio for JIRA,
Bug,Agile versions below 6.4 cause exceptions,Low
Suggestion,Epic estimate summation should be consistent between estimate column and progress column,
Suggestion,Ability to retrieve epics using filter in JIRA Portfolio Dependency ,
Bug,Move to Epic (story) does not Update Epic Link in Jira Agile for Story and vice versa,Low
Suggestion,"Copy (select) or export the ""Warning Details"" from a ""Apply updates to project/s""",
Suggestion,Have a calendar view for resource management,
Bug,filtering on 'open issues' shows verified issues,High
Suggestion,"As an Admin, I would like Plan Permissions using Roles",
Bug,issue time progress affect total planned time for a team member,Low
Bug,Broken images in Synchronization Settings documentation,Medium
Suggestion,Track progress without remaining estimate,
Bug,Agile versions below 6.4 cause exceptions,Low
Suggestion,Having the option to accumulate only Time Spent for the Planning progress,
Bug,Test issue,Low
Bug,import: deselecting story forgets its parent,Low
Suggestion,Allow a lock on plans to prevent recalculations ,
Suggestion,Confirmation Popup for Manual Recalculation in Portfolio,
Suggestion,Display the Epic or Initiative's 'Theme' on linked issues,
Bug,Points being changed to 0 for issues that are 'Complete',High
Suggestion,"Add ""Total Hours"" as column in Plan backlog screen",
Suggestion,Have the option to preserve the Originally Planned estimation ,
Suggestion,I would love Portfolio Initiative field to be copied down to Epics when pushed back to JIRA,
Bug,Problem with Update From Date and Auto-sync-- Endless Loop,Low
Bug,No scheduling result when filtering on a deleted criteria,Low
Bug,"Error when performing ""Update from date"" on a blank plan",Low
Bug,"""Loader constraint violation"" when trying to add a member to a team",Medium
Bug,Move epic to initiative after filtering does not refresh the page,Low
Bug,Changing Story Points in JIRA,Highest
Suggestion,Replicate Theme field from Portfolio to JIRA Issue,
Bug,CSV export of epics having description containing newlines are spread over multiple lines,Low
Bug,Issue Link not updated after move between projects. ,Low
Suggestion,Make it easier to assign parent Initiatives and Epics when importing issues.,
Suggestion,JIRA Portfolio Evaluation - Pls. forward to Martin Suntinger,
Suggestion,Save Portfolio Report Views to Add to JIRA Dashboard,
Suggestion,I want to be able to make a localization for JIRA Portfolio,
Suggestion,"Automatically fill in ""Members"" assignment from JIRA custom field",
Bug,Possible performance problem showing Portfolio Menu dropdown,Low
Bug,Minimum Load scheduling option doesn't seem to work,Low
Bug,Documentation: screenshot missing,Low
Suggestion,Allow for time blocks where no team is assigned but work can't be done,
Suggestion,Sharing team members across Plans,
Suggestion,"There should be a distinction between ""0"" estimates and ""none entered""",
Suggestion,Backlog filter for stages should hide issues with no estimate for that stage,
Suggestion,Drag and drop Epics / Stories over teams in the backlog graph,
Bug,"""Order by"" Title sorting is broken on the ""People"" Tab",Low
Bug,Team filter does not return auto-assigned teams,Low
Suggestion,Dependencies to be viewed when filtering on a single release,
Bug,'Release' Quick filter displays incorrect information,Low
Suggestion,Graphic representation of sprints within Initiative and Epics view,
Suggestion,Add Links in Main Page,
Suggestion,Epic link should be synchronized between JIRA and Portfolio,
Suggestion,Team/Person synchronization with Jira,
Suggestion,"Grouping option ""Stage/skill"" in the Schedule/Capacity report",
Suggestion,Import using a fresh JQL search (not using existing filters),
Bug,Zooming in browser messes up JIRA Portfolio page rendering,Low
Bug,Importing a story with estimates doesn't take over the exact estimate in portfolio,High
Suggestion,Having the option for the user to re-order/re-arrange column in JIRA Portfolio,
Suggestion,Issue links should work correctly when an issue has been moved to a new project in JIRA,
Suggestion,"Automate the ""keep estimates as reference""",
Suggestion,Autoschedule is able to set mulitple values (i.e. Releases) while users can't,
Bug,Exception caught with scheduler,Low
Suggestion,Availability of team members,
Bug,Inactivated users can be selected in JIRA Portfolio 'People' and 'Permissions' section,Low
Bug,User drop-downs show inactive JIRA users,Low
Bug,"The ""Import Existing Issue"" select filter crashes if you start the search with ""?"" as the first letter ",Low
Suggestion,Cross-plan teams and scheduling.,
Bug,Stories aren't moved from sprint to sprint after one is finished,Low
Bug,"Updating JIRA Portfolio Plan, incorrectly update original and remaining estimate in a task",Low
Bug,Apply updates to projects doesn't correctly update original estimates for epics and initiatives,Medium
Suggestion,Create and link existing issues should provide an immediate sync between JIRA and Portfolio,
Bug,NullPointerException on JIRA Portfolio plan while Recalculating ,Low
Suggestion,As a project manager I should be able to see shift from my baseline plan in the gantt view,
Suggestion,"As a project manager I should be able to see the dependencies between jira issues, critical path schedules, timeline, progress indicator, scheduling error all in one view",
Bug,Summary and description not synced back from JIRA to Portfolio in certain setups,Low
Suggestion,Allow for importing of assignee when importing issues from JIRA to Portfolio,
Suggestion,"Create JIRA Versions from Portfolio Releases with ""apply updates to projects""",
Suggestion,"Create JIRA Versions from Portfolio Releases with ""apply updates to projects""",
Suggestion,When linking JIRA issues there is no warning of issues already linked,
Suggestion,issue Key is not updated when issue changes project key,
Bug,Replanning suggestions don't work correctly if structured epic and an unstructured item are linked to the same JIRA issue,Low
Bug,Replanning estimate suggestions don't work correctly if structured epic and an unstructured item are linked to the same JIRA issue,Medium
Bug,Authority to leave missing in downloaded file from conny,Medium
Suggestion,Allow attachments for portfolio entries,
Suggestion,Advanced description editing (Wiki markup for description),
Suggestion,Allow to add custom columns to backlog,
Bug,Portfolio becomes unusable when browser local storage quota is exceeded,Low
Suggestion,better description for scheduling maximum resources,
Suggestion,Provide link to a line item in Backlog,
Suggestion,"Improve ""Update from date"" performance",
Suggestion,Ability to select the iniciative when importing issues,
Suggestion,Provide input validation mechanism in Bulk Create,
Suggestion,Jira Portfolio Bulk Import Validation,
Suggestion,Ability to lock ratio's,
Suggestion,Add the concept of leadtime to epics and stories,
Suggestion,resource allocation with percentage,
Suggestion,resource allocation with percentage,
Suggestion,Manage for a team meber the general availability like the team availability,
Bug,Jira Portfolio Import Error,Low
Bug,Jira Portfolio Plan Update Error,Low
Suggestion,Inactive users selectable for Teams and Resources,
Bug,Jira Portfolio can not enabled,Low
Suggestion,JIRA issues associated with Initiatives should link to the implementing Epics,
Bug,Story added to closed sprint when using 'Recalculate',Low
Suggestion,"JIRA Portfolio ""Apply updates to project/s"" should never overwrite fields with blank values.",
Suggestion,Jira portfolio Start and end dates value availability in JQL  ,
Suggestion,Restricted User Clarification,
Suggestion,Deletion of linked Epic/Story in JIRA,
Suggestion,Ability to reorder Epics by moving its Initiative,
Suggestion,filter for epic when finalising before a certain date or starting after a certain date,
Suggestion,confirmation when assign ownership to an epic,
Suggestion,percentage bar when re-calculating,
Suggestion,drop-down filtering on initiatives,
Suggestion,Implement a REST API for JIRA Portfolio,
Suggestion,Toggle Prioritizing Epics and Stories,
Bug,Error Message when creating a team,Low
Suggestion,"reset ""update from date"" and ""Apply updates to projects"" to previous state/changes",
Suggestion,history of release changes,
Bug,Same Error as Described in JPO-346,Low
Bug,Exception on portfolio recalculation ,Low
Bug,Linking a Epic from the JIRA Portfolio backlog overwrites the description,Medium
Suggestion,Allow fixing sprints and multi-selecting them,
Suggestion,Allow fixing of Start Date,
Bug,Error in portfolio Page,Low
Bug,Missing Portfolio menu on the top bar when installing JIRA Portfolio in JIRA 6.3.4a,Low
Bug,(?) question mark character is shown when importing issues into JPO,Low
Bug,(?) question mark character is shown when importing issues into JPO,Low
Suggestion,Show issue keys/links in graphical schedule,
Suggestion,Allow individual releases priorization among different streams,
Suggestion,Add default estimates in JPO based on work item properties,
Suggestion,Allow users to select teams to work on projects when importing issues,
Bug,Unable to see a JIRA user if a virtual user with the same name exists,Low
Bug,Unable to see a JIRA user if a virtual user with the same exists,Low
Suggestion,Allow users to prevent blocked dependent issues from been assigned,
Suggestion,"Auto-update/Sync versions as it is done for titles, estimates, descriptions ",
Bug,Release Version in porfolio isn't updated when fixVersion is updated in an issue,Low
Suggestion,Clicking of release dots in timeline should provide additional information about the release,
Suggestion,Zoom in on timeline,
Suggestion,Track story point velocity per resource based on releases,
Bug,Refreshing portfolio often updates points on projects stories,Low
Suggestion,Define story point supply per resource,
Suggestion,Define story point supply per resource,
Bug,NullPointerException in LinkEnrichmentData.create while importing large numbers of backlog issues,Medium
Bug,Display Stories content on Report by Releases ,Low
Suggestion,define skills in team basis,
Bug,"""Update from date"" no longer pulls in JIRA Issue changes",Medium
Suggestion,Allow to import assignee when importing issues,
Suggestion,Color code the list items rows by category ,
Bug,Typo - JIRA Portfolio Documentation - High Level Planning,Low
Bug,Typo - Portfolio Documentation - Automatic Scheduling,Low
Bug,Typo - Portfolio Documentation,Low
Suggestion,Stages and percentages,
Bug,Failed to execute SQL error while importing large numbers of backlog issues,Medium
Suggestion,Allow users to choose other System fields to be shown as column in the Backlog,
Suggestion,Add components  to backlog,
Suggestion,Having Bulk Delete option in JIRA Portfolio,
Bug,error message after setting velocity,Low
Suggestion,Add support for decision making processes,
Suggestion,A new feature for slowing the burndown on issues would be helpful.,
Suggestion,"As a Project Manager, I want to be able to import Jira User Stories into Portfolio without having to assign an epic.",
Bug,Calculated an impossible schedule,Low
Suggestion,As a user I'd like JIRA Portfolio to synchronize the assignee of stories,
Suggestion,Support Wiki Markup or Rich Text Editor (RTE) on Description,
Suggestion,Display Completed Epics on the Reports Release Page,
Suggestion,Group the graphical schedule view by initiatives or themes,
Bug,Can't delete a user in the access control plan,Low
Bug,Accessing Portfolio Administration shows login page,Medium
Suggestion,Audit Log for changes,
Suggestion,More Progress Bars Please,
Suggestion,Percent (or hours) override of stage estimates on epics,
Bug,Portfolio 1.9.5 does not run in JIRA 6.1 and 6.2,Low
Bug,Jira Portfolio Add-on can not be enabled,Low
Suggestion,"When searching for an existing issue, it should not be necessary to provide project ",
Suggestion,"Make it easy to convert between Initiative, Epic, Story and Task/Subtask",
Bug,"Search/fliter on in-line Initiatives drop-down on ""Epics"" page broken, only works with ALL CAPS",Low
Bug,"Initiatives drop-down on ""Epics"" page should not be filtered",Low
Suggestion,Stories with dependencies can still be scheduled to start at the same time,
Suggestion,Do not set estimates to zero on closing issues,
Bug,Exception when accessing a user's recent plans,Low
Suggestion,"Exporting tickets with ""Create separate issues per stage"" on also export stages without any estimates",
Suggestion,Auto sync linked issues to marked as completed,
Suggestion,Stage and skill percentage based on team,
Suggestion,Having an option for User to create custom fields in Portfolio to be shown as Column in the backlog and releases section,
Suggestion,Pre-populate user filter with Favorite or Recently used filters,
Suggestion,"Option for ""Update from Date"" to not set Completed task's Story Points to 0",
Suggestion,Portfolio Plan Update use case?,
Suggestion,"Remove the need for ""Update from date..."" to see the changes of ""remaining estimates""",
Suggestion,"As a JIRA Portfolio user, I want to set dependencies between version releases. ",
Bug,Jira Portofolio - Backlog exception,Low
Bug,Found a Bug/Error while trying to access Scheduler,Low
Bug,Multiple Default Epics Created,Low
Suggestion,Import more than 100 issues -- Still a limit,
Suggestion,Additional ways of grouping Epic roadmap/Gantt chart view in Jira Portfolio,
Bug,Portfolio Kanban release date output is inaccurate,Medium
Bug,Portfolio Kanban release date output is inaccurate,Low
Suggestion,Display a legend for color coding,
Suggestion,Plan Update - Automatically suggest changed release assignments,
Suggestion,Allow comments on stories created in Portfolio,
Bug,"Exception ""Error in variable slot function"" when assigning Stages.",Medium
Suggestion,Drag issue to another epic,
Bug,Export to CSV results in error when progress method is set to 'Resolved issue count',Low
Bug,Unable to Enable JPO Addon,High
Suggestion,History Action Log,
Suggestion,Dedicated Permissions on Data Object Level,
Suggestion,"Allow disabling estimate suggestions in ""Update from date""",
Suggestion,Update how JIRA synchronizes Epics so the Portfolio Title becomes the Jira Epic Name,
Suggestion,Define custom colors for epics and initiatives,
Suggestion,UX Change -> Swap Epic and Initiative buttons around,
Suggestion,Allow portfolio scheduling view to reflect hierachy between Epic->Story->Tasks,
Suggestion,"Please provide link to JIRA issues in ""Gantt Chart"" ",
Suggestion,Add Links to Issue in JIRA in the Reports view,
Suggestion,Allow to configure issue link type direction for Portfolio dependencies,
Bug,"""Depends"" link is wrong way round",Low
Suggestion,Make Reason for Empty Sprints More obvious,
Suggestion,Allow to manage Epic name and summary independently in Portfolio,
Suggestion,"When importing issues from JIRA, story points should carry over",
Suggestion,"As a project manager, I want to estimate using custom fields",
Bug,JIRA Portfolio overwrites Epic Name when synchronizing with JIRA Agile,Low
Suggestion,Other Issue Type Support,
Suggestion,Combine Stages Option for Stories View in Project Timeline,
Bug,Apply Updates to Projects creates Dependency links in reverse direction,High
Suggestion,Provide the option to schedule on a daily basis for Scrum teams,
Suggestion,Fully integrate JIRA sub-tasks into Portfolio,
Bug,"Opening 'Update from date...' dialog sets remaining estimates on linked JIRA issues, no suggestions shown",Low
Suggestion,Provide a configuration option in 'Update from date' dialog that allows items with no remaining estimate to remain open,
Bug,Estimates of Stories with estimated Subtasks increase in a feedback loop,Low
Bug,"JIRA Portfolio installation fails with ""ORA-01440: column to be modified must be empty to decrease precision or scale""",Low
Suggestion,Copy a plan,
Suggestion,Sprint Filter,
Bug,Global Non-working Days results in different capacity to adding absences for individuals,Low
Suggestion,Untick 'Version Name' per default in 'Apply Updates to Projects' dialog,
Suggestion,Add backlog column - Issue Estimate,
Bug,Stages scheduled concurrently rather than sequentially,Medium
Suggestion,Ability to import only issues whose Epic is in Portfolio already,
Suggestion,Assign more than one initiative to a team in parallel,
Suggestion,Define if epics within an initiative are spread across teams or limited,
Suggestion,Import releases from custom field,
Suggestion,Clear visibility of available hours per team member ,
Bug,Backlog column settings don't transfer between different users in the same plan,Low
Bug,Deselecting an epic during import loses links to that epic,Low
Bug,Capacity view: utilization summary does not consider hidden empty releases,Medium
Suggestion,Prioritize multiple work items in the backlog in one step,
Bug,Release Report Utilization % & Free Capacity Missing ,High
Bug,Release Report Utilization % & Free Capacity Missing ,Low
Suggestion,Allow non-agile teams to better configure JIRA Portfolio scheduling,
Bug,Errors upgrading to 1.9.0 and 1.9.1,Highest
Bug,JIRA Portfolio holds onto Version names tenaciously,Low
Bug,Upgrading to 1.9.0 throws java.sql.SQLException: The object 'U_AO_A415DF_AOSOLUT806524854' is dependent on column 'AOPLAN_ID',Highest
Suggestion,Support other languages within Advanced Roadmaps,
Suggestion,Sync Backlog priority changes in the epics and initiatives view,
Suggestion,iCal support for vacations and non-working days,
Suggestion,Team-specific non-working days,
Suggestion,Support global working / non-working day settings,
Suggestion,Allow individual issues priorization among different epics,
Suggestion,Unlinked issues should include in Epic progress bar,
Bug,Updating Original Estimate from portfolio Epic to Jira Epic doesn't work,Low
Suggestion,Add a schedule report view based Epics per Initiative,
Suggestion,Team as JIRA Projects Roles,
Suggestion,integration with SuiTest plugin with JIRA Portfolio,
Bug,Progress bar by resolved doesn't update,Low
Suggestion,Print option for Backlogs on JIRA Portfolio,
Suggestion,"Possibility to disable ""Everybody"" as permission access to a plan",
Suggestion,Allow to schedule a work item with manually configured start and end date,
Suggestion,Allow Portfolio to adapt to changes made to Epic/Story relationships in JIRA,
Suggestion,Schedule a story in JIRA Portfolio,
Bug,Moving stories between Epics in JIRA does not sync to Portfolio,Low
Bug,Broken links in support centre,Low
Suggestion,Imported epics use 'epic summary' rather than 'epic name'.,
Suggestion,Add a visual cue when board is being filtered,
Bug,Imported epics use 'epic summary' rather than 'epic name'.,Low
Suggestion,"""Apply update to projects"" should provide an option to sync Epic/Story relationships",
Suggestion,"When push update to project, Epic-Story linkage is not updated based on Portfolio Plan",
Suggestion,Document comparison of JIRA Portfolio and JIRA Agile,
Suggestion,Wrap text in 'Releases' view of Portfolio's 'Reports' board mode,
Bug,'Issue Links and Synchronization' has an on/off typo.,Low
Suggestion,"Change ""Dependent story constraint"" label if Kanban teams are present",
Bug,No relationships between stages,Medium
Suggestion,"Create and link multiple JIRA issues per story, one for each skill",
Bug,Version release date is not updated correctly for Later releases without calculated end dates,Low
Bug,"""Zero"" suggestions are shown as ""< 0.01"" in the replanning suggestions",Low
Bug,Replanning suggestions are not provided if current estimates are zero,Low
Suggestion,Allow running 'Update from date...' sequentially for different fields,
Suggestion,Importing Completed Issues should set the status to Complete,
Bug,Get an exception when adding a member,Low
Suggestion,Date picker - start week on Monday,
Bug,Poor performance on Portfolio Plans with huge backlogs,Medium
Bug,Progress bar for Epics doubles the total story points,Low
Suggestion,"Make it easier to manage ""Later"" items",
Suggestion,Retrieve absences from Confluence Team Calendars,
Suggestion,Allow hiding of estimate sums,
Suggestion,Create Portfolio Gadgets for JIRA,
Bug,Estimated value under Reports > Themes has spelling error,Low
Suggestion,Export to MS Project,
Bug,Applying updates broken for issues assigned to renamed users,High
Suggestion,Import/Export just for Teams,
Suggestion,Allow Story to contribute to multiple Themes,
Suggestion,Allow orthogonal Themes,
Bug,Completed items have the team removed.,Medium
Suggestion,Allow sysadmin/admin to access private plans,
Suggestion,Budget Resource Allocation by expense type,
Bug,"Option ""Dependent story constraint"" breaks scheduling in Kanban Mode",Low
Bug,Failed to enable plugin after upgrade,Low
Bug,Sysadmin/Admin cannot see private plans,Low
Bug,Clone/Import plan fails,Low
Bug,Progress on sub tasks not reflected in JIRA portfolio,Low
Bug,Bottleneck analysis ignores fixed release start date of epics without stories,Low
Bug,Adding epics to initiatives removes the initiative's theme,Low
Bug,Cancelling calculations does not work,Medium
Suggestion,Calculations result should not be lost on Plugin / JIRA restart,
Suggestion,Multi Select for Managing Backlog in Portfolio,
Suggestion,Show calculated start and end dates in the backlog table,
Suggestion,Recompute existing estimates for backlog items when switching planning unit,
Suggestion,Plan Update Should Only Sync Epic Title to JIRA Agile Epic Summary,
Bug,Switching Planning unit will not recalculate estimate,Medium
Suggestion,Requesting capability to have stories with different stages and skills.,
Suggestion,Time Window Filter,
Bug,1d in Portfolio may not be 1d in JIRA ?!,Medium
Bug,Theme column can break when multiple themes are shown,Low
Bug,Plan permissions cannot be deleted,Low
Suggestion,Automated notification of deactivated JIRA user,
Suggestion,Resource Search Feature ,
Suggestion,Synchronize JIRA user name changes back to JIRA Portfolio,
Suggestion,Allow epic assignment to multiple teams and resources,
Suggestion,Weekly hours in Portfolio should match the JIRA working days/hours,
Bug,Error when synchronize Story Points with German language,Low
Suggestion,Identify and flag gaps between release end and next release start when start is dynamically scheduled,
Suggestion,JIRA Portfolio should have a separate log file,
Suggestion,Better handling Theme Target settings,
Suggestion,Update plan from date: Allow to show only the changes in the dialog,
Suggestion,Better tooltips in the schedule,
Suggestion,Support Undo (Ctrl + Z),
Suggestion,Allow to enter stage/skill-level estimates in percentages,
Suggestion,Import Issues: Search and filter for issues dynamically rather than having to use saved filters,
Suggestion,Possibility to set an issue reporter upon issue creation,
Suggestion,Be able to convert the actual estimates when changing the planning unit (hours-days),
Suggestion,Horizontal scrolling using the magic mouse on the Mac is not possible,
Suggestion,Move child issues from one parent to another via drag and drop,
Bug,Story Points don't sync from JIRA to the Portfolio Plan. ,Highest
Bug,Script error when importing a big amount of data in Portfolio,Low
Suggestion,Take user to Story/Epic in Backlog when I click on Schedule diagram,
Bug,Automatic assignemnt of stories vs. manual changing them,Low
Suggestion,"Suggest import of new JIRA Agile Epics when using ""Update from date...""",
Bug,"""Display ratio of unestimated items"" does not work when importing an epic without child stories",Low
Suggestion,Merge plans by importing multiple XML plan exports,
Bug,While syncronizing from Portfolio to Jira the story points are set by default to 0,Low
Bug,Exception when importing closed issues without an estimate,Highest
Bug,Crash while updating back to Jira,Low
Suggestion,Epic estimates overwritten on import by un-estimated stories,
Bug,Stop script error when there is a big amount of data in Portfolio,Low
Suggestion,As a portfolio creator I would like to be able to associate teams with a JIRA project so that any work imported from that project automatically gets assigned to that team,
Suggestion,Do not trigger scheduling for changes that don't affect the scheduling,
Suggestion,Improve memory use of scheduling algorithm,
Suggestion,Ability to add JIRA fields to Portfolio plan view.,
Bug,"""Create and link issues"" throws an exception when no issue link types exist",Low
